author,title,description,url,urlToImage,date,content,source.id,source.name,symbol,result
ETMarkets.com,"Tata Tech could win midcap tag, Jio Financial largecap in upcoming AMFI rejig","Apart from Jio Financial, Power Finance Corporation, Indian Railway Finance Corporation, Macrotech Developers, Polycab India, REC, Shriram Finance, Union Bank of India, and  Indian Overseas Bank are the others that may enter into the largecap category, accord…",https://economictimes.indiatimes.com/markets/stocks/news/tata-tech-could-win-midcap-tag-jio-financial-largecap-in-upcoming-amfi-rejig/articleshow/105908261.cms,"https://img.etimg.com/thumb/msid-105908404,width-1200,height-630,imgsize-60218,overlay-etmarkets/photo.jpg",2023-12-11,"In the upcoming semi-annual categorization of stocks by the Association of Mutual Funds in India (AMFI) based on market capitalisation, 9 stocks are likely to enter the largecap category, and the rec… [+2167 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Shriram Finance shares down 0.99% as Sensex falls,"A total of 14,192 shares changed hands on the counter till 12:59PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-down-0-99-as-sensex-falls/articleshow/106082614.cms,"https://img.etimg.com/thumb/msid-83772708,width-1200,height-630,imgsize-284734,overlay-etmarkets/photo.jpg",2023-12-18,"Shares of Shriram Finance Ltd. fell 0.99 per cent to Rs 2057.75 in Monday's session as of 12:59PM (IST) even as the equity benchmark Sensex traded 89.47 points lower at 71394.28. Earlier in the day, … [+1667 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Shriram Finance shares fall 0.39 per cent in Tuesday's trading session,The Relative Strength Index of the stock stood at 53.59 on Tuesday.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-fall-0-39-per-cent-in-tuesdays-trading-session/articleshow/106284428.cms,"https://img.etimg.com/thumb/msid-83804572,width-1200,height-630,imgsize-297423,overlay-etmarkets/photo.jpg",2023-12-26,"Shares of Shriram Finance Ltd. fell 0.39 per cent to Rs 2047.95 in Tuesday's trade as of 11:57AM (IST) even as the benchmark Nifty ruled at 21460.65, up 111.25 points. The scrip had closed at Rs 2056… [+1163 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Shriram Finance stock price up 1.68 per cent as Sensex climbs,"As of 30-Sep-2023, promoters held 23.44 per cent stake in the company, while FIIs held 54.67 per cent and domestic institutional investors had 9.57 per cent.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-stock-price-up-1-68-per-cent-as-sensex-climbs/articleshow/106142792.cms,"https://img.etimg.com/thumb/msid-83791939,width-1200,height-630,imgsize-992893,overlay-etmarkets/photo.jpg",2023-12-20,"Shares of Shriram Finance Ltd. rose 1.68 per cent to Rs 2094.35 at 10:31AM hours (IST) on Wednesday. Earlier in the day, the stock saw a gap up start to the session. As per data available on BSE, tot… [+1407 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Stock market update: Sugar stocks up as market falls,The 30-share BSE Sensex was  down  19.79 points at 70486.52,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-falls/articleshow/106172616.cms,"https://img.etimg.com/thumb/msid-83746920,width-1200,height-630,imgsize-779300,overlay-etmarkets/photo.jpg",2023-12-21,"NEW DELHI: Sugar stocks were trading higher on Thursday at 10:55AM EID Parry(up 2.51%), DCM Shriram Industries(up 2.28%), Mawana Sugars(up 2.02%), BAJAJHIND(up 1.83%), Simbhaoli Sugars(up 1.64%), Sak… [+1189 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Stock market update: Sugar stocks down as market rises,The 30-share BSE Sensex was  up  307.92 points at 71745.11,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/106142343.cms,"https://img.etimg.com/thumb/msid-82267819,width-1200,height-630,imgsize-142669,overlay-etmarkets/photo.jpg",2023-12-20,"NEW DELHI: Sugar stocks were trading lower on Wednesday at 10:14AM DCM Shriram Industries(up 2.40%), Dalmia Bharat Sugar &amp; Industries(up 0.66%), Vishwaraj Sugar Industries(up 0.30%) and Ugar Suga… [+1257 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Stock market update: Sugar stocks up as market falls,The 30-share BSE Sensex closed  down  170.12 points at 72240.26,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-falls/articleshow/106486273.cms,"https://img.etimg.com/thumb/msid-83725308,width-1200,height-630,imgsize-48184,overlay-etmarkets/photo.jpg",2024-01-02,"NEW DELHI: Sugar shares closed lower in the Tuesday's session. Uttam Sugar Mills(up 3.50%), MAGADHSUGAR(up 3.29%), Rajshree Sugars &amp; Chemicals(up 2.37%), Dalmia Bharat Sugar &amp; Industries(up 2… [+1299 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Stock market update: Sugar stocks down as market rises,The 30-share BSE Sensex closed  up  229.84 points at 71336.8,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/106294227.cms,"https://img.etimg.com/thumb/msid-77922857,width-1200,height-630,imgsize-132855,overlay-etmarkets/photo.jpg",2023-12-26,"NEW DELHI: Sugar shares closed higher in the Tuesday's session. Simbhaoli Sugars(up 19.79%), Ugar Sugar Works(up 1.92%), Triveni Engineering &amp; Industries(up 1.07%), Kothari Sugars &amp; Chemicals… [+1382 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Stock market update: Sugar stocks down as market rises,The 30-share BSE Sensex closed  up  33.57 points at 69584.6,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/105961997.cms,"https://img.etimg.com/thumb/msid-83800143,width-1200,height-630,imgsize-287158,overlay-etmarkets/photo.jpg",2023-12-13,"NEW DELHI: Sugar shares closed higher in the Wednesday's session. KCP Sugar &amp; Industries(up 4.97%), Triveni Engineering &amp; Industries(up 1.23%), DCM Shriram Industries(up 0.79%), Dhampur Sugar… [+1430 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Stock market update: Sugar stocks down as market rises,The 30-share BSE Sensex closed  up  241.86 points at 71106.96,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/106212942.cms,"https://img.etimg.com/thumb/msid-83746920,width-1200,height-630,imgsize-779300,overlay-etmarkets/photo.jpg",2023-12-22,"NEW DELHI: Sugar shares closed higher in the Friday's session. K.M.Sugar Mills(up 2.25%), EID Parry(up 1.17%), DCM Shriram Industries Ltd.(up 1.01%), Rana Sugars(up 0.85%), Balrampur Chini Mills(up 0… [+1413 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Shriram Finance shares 0.0% as Sensex rises,The stock quoted a 52-week high of Rs 2169.5 and a 52-week low of Rs 1190.0.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-0-0-as-sensex-rises/articleshow/106565942.cms,"https://img.etimg.com/thumb/msid-83804572,width-1200,height-630,imgsize-297423,overlay-etmarkets/photo.jpg",2024-01-05,"Shares of Shriram Finance Ltd. traded 0.0 per cent in Friday's session at 12:12PM (IST). The stock opened at Rs 2151.0 and has touched an intraday high and low of Rs 2169.5 and Rs 2118.4, respectivel… [+1276 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Shriram Finance shares gain 0.89% as Sensex rises,"A total of 9,426 shares changed hands on the counter till 12:17PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-gain-0-89-as-sensex-rises/articleshow/106313520.cms,"https://img.etimg.com/thumb/msid-83804572,width-1200,height-630,imgsize-297423,overlay-etmarkets/photo.jpg",2023-12-27,"Shares of the Shriram Finance Ltd. traded at Rs 2052.1 on BSE at 12:17PM (IST) on Wednesday, up 0.89 per cent. The stock quoted a 52-week low price of Rs 1190.0 and a high of Rs 2129.55. Earlier in t… [+756 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Share price of Shriram Finance rises as Nifty strengthens,"A total of 10,086 shares changed hands on the counter till 12:33PM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-shriram-finance-rises-as-nifty-strengthens/articleshow/106343326.cms,"https://img.etimg.com/thumb/msid-83791939,width-1200,height-630,imgsize-992893,overlay-etmarkets/photo.jpg",2023-12-28,"Shares of Shriram Finance Ltd. gained 0.12 per cent to Rs 2049.95 in Thursday's trade as of 12:33PM (IST). The stock hit a high price of Rs 2054.95 and low of Rs 2039.7 during the session. 
The retu… [+944 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Share price of Shriram Finance rises as Nifty weakens,"A total of 7,753 shares changed hands on the counter till 01:39PM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-shriram-finance-rises-as-nifty-weakens/articleshow/106445756.cms,"https://img.etimg.com/thumb/msid-83721067,width-1200,height-630,imgsize-421641,overlay-etmarkets/photo.jpg",2024-01-01,Shares of Shriram Finance Ltd. gained 0.28 per cent to Rs 2058.0 in Monday's trade as of 01:39PM (IST). The stock hit a high price of Rs 2078.95 and low of Rs 2042.45 during the session. The return o… [+1455 chars],the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Share price of Shriram Finance rises as Nifty weakens,"A total of 13,928 shares changed hands on the counter till 10:25AM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-price-of-shriram-finance-rises-as-nifty-weakens/articleshow/106171801.cms,"https://img.etimg.com/thumb/msid-83549420,width-1200,height-630,imgsize-22674,overlay-etmarkets/photo.jpg",2023-12-21,Shares of Shriram Finance Ltd. gained 2.08 per cent to Rs 2038.4 in Thursday's trade as of 10:25AM (IST). The stock hit a high price of Rs 2039.15 and low of Rs 1973.55 during the session. The return… [+1443 chars],the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Shriram Finance shares down 1.54% as Sensex rises,"A total of 19,267 shares changed hands on the counter till 01:29PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-down-1-54-as-sensex-rises/articleshow/106015987.cms,"https://img.etimg.com/thumb/msid-77646325,width-1200,height-630,imgsize-71505,overlay-etmarkets/photo.jpg",2023-12-15,"Shares of Shriram Finance Ltd. fell 1.54 per cent to Rs 2088.2 in Friday's session as of 01:29PM (IST) even as the equity benchmark Sensex traded 474.1 points higher at 70988.3. Earlier in the day, t… [+1665 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Shriram Finance shares down 1.02% as Sensex falls,"A total of 6,240 shares changed hands on the counter till 01:29PM (IST)",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-down-1-02-as-sensex-falls/articleshow/106480312.cms,"https://img.etimg.com/thumb/msid-83721067,width-1200,height-630,imgsize-421641,overlay-etmarkets/photo.jpg",2024-01-02,"Shares of Shriram Finance Ltd. fell 1.02 per cent to Rs 2026.7 in Tuesday's session as of 01:29PM (IST) even as the equity benchmark Sensex traded 170.12 points lower at 72240.26. Earlier in the day,… [+1662 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Shriram Finance share price up 0.24 per cent,"A total of 7,181 shares changed hands on the counter till 10:30AM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-share-price-up-0-24-per-cent/articleshow/106111464.cms,"https://img.etimg.com/thumb/msid-81699096,width-1200,height-630,imgsize-194573,overlay-etmarkets/photo.jpg",2023-12-19,Shares of Shriram Finance Ltd. traded 0.24 per cent up at Rs 2053.1 at around 10:30AM (IST) on Tuesday. The stock had closed at Rs 2048.1 in the previous session. Equity benchmark Sensex traded 159.6… [+1570 chars],the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Shriram Finance share price up 2.38 per cent,"A total of 17,448 shares changed hands on the counter till 10:10AM (IST).",https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-share-price-up-2-38-per-cent/articleshow/106532561.cms,"https://img.etimg.com/thumb/msid-83772914,width-1200,height-630,imgsize-273990,overlay-etmarkets/photo.jpg",2024-01-04,Shares of Shriram Finance Ltd. traded 2.38 per cent up at Rs 2139.5 at around 10:10AM (IST) on Thursday. The stock had closed at Rs 2089.7 in the previous session. Equity benchmark Sensex traded 535.… [+1583 chars],the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Shriram Finance shares rise 1.11 per cent in Monday's trading session,The Relative Strength Index of the stock stood at 59.89 on Monday.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-rise-1-11-per-cent-in-mondays-trading-session/articleshow/105893771.cms,"https://img.etimg.com/thumb/msid-77646325,width-1200,height-630,imgsize-71505,overlay-etmarkets/photo.jpg",2023-12-11,"Shares of Shriram Finance Ltd. rose 1.11 per cent to Rs 2055.55 in Monday's trade as of 11:32AM (IST) even as the benchmark Nifty ruled at 20994.5, up 25.1 points. The scrip had closed at Rs 2032.85 … [+1160 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Shriram Finance shares fall 0.31 per cent in Wednesday's trading session,The Relative Strength Index of the stock stood at 48.89 on Wednesday.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/shriram-finance-shares-fall-0-31-per-cent-in-wednesdays-trading-session/articleshow/105952814.cms,"https://img.etimg.com/thumb/msid-83804572,width-1200,height-630,imgsize-297423,overlay-etmarkets/photo.jpg",2023-12-13,"Shares of Shriram Finance Ltd. fell 0.31 per cent to Rs 1987.5 in Wednesday's trade as of 11:36AM (IST) even as the benchmark Nifty ruled at 20782.2, down 124.2 points. The scrip had closed at Rs 199… [+1166 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
Shayan Ghosh,"NBFCs expected to witness slower growth, need to diversify funding sources in 2024","Rising competition, margin compression on account of funding cost increases and asset quality performance would be the key trend to monitor in the next year",https://www.livemint.com/industry/banking/nbfcs-expected-to-witness-slower-growth-need-to-diversify-funding-sources-in-2024-11703659475739.html,https://www.livemint.com/lm-img/img/2023/12/27/1600x900/PFC-to-use-75--of-its-Rs-5-000-cr-NCD-proceeds-for_1689771474562_1703659888394.jpg,2023-12-27,"Mumbai: After witnessing an improvement in asset quality and stronger balance sheets in 2023, Indias non-bank financiers will have to look at diversifying their sources of funding in the coming year … [+5186 chars]",,Livemint,SHRIRAMFIN,0.0
Shayan Ghosh,Here's why NBFCs will have to look beyond banks for funds,Issuances of commercial paper and bonds by non-bank lenders have started gathering pace,https://www.livemint.com/industry/banking/heres-why-nbfcs-will-have-to-look-beyond-banks-for-funds-11703702514003.html,https://www.livemint.com/lm-img/img/2023/12/27/1600x900/rbi-kdPG--621x414LiveMint_1703702833213_1703702833452.jpg,2023-12-27,"Mumbai: Non-bank lenders that borrow heavily from commercial banks to lend further may need to diversify their funding sources in the year ahead, given the rising competition for bank credit, and hig… [+5178 chars]",,Livemint,SHRIRAMFIN,0.0
ETMarkets.com,Stock market update: Sugar stocks up as market falls,The 30-share BSE Sensex closed  down  170.12 points at 72240.26,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-falls/articleshow/106379589.cms,"https://img.etimg.com/thumb/msid-82697732,width-1200,height-630,imgsize-184256,overlay-etmarkets/photo.jpg",2023-12-29,"NEW DELHI: Sugar shares closed lower in the Friday's session. Uttam Sugar Mills(up 3.50%), MAGADHSUGAR(up 3.29%), Rajshree Sugars &amp; Chemicals(up 2.37%), Dalmia Bharat Sugar &amp; Industries(up 2.… [+1262 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Stock market update: Sugar stocks up as market rises,The 30-share BSE Sensex closed  up  929.6 points at 70514.2,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/105991964.cms,"https://img.etimg.com/thumb/msid-83515267,width-1200,height-630,imgsize-853209,overlay-etmarkets/photo.jpg",2023-12-14,"NEW DELHI: Sugar shares closed higher in the Thursday's session. KCP Sugar &amp; Industries(up 4.99%), Bannari Amman Sugars(up 3.41%), DCM Shriram Industries(up 3.26%), Balrampur Chini Mills(up 1.99%… [+1293 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Stock market update: Sugar stocks up as market rises,The 30-share BSE Sensex closed  up  358.79 points at 70865.1,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/106182530.cms,"https://img.etimg.com/thumb/msid-83515267,width-1200,height-630,imgsize-853209,overlay-etmarkets/photo.jpg",2023-12-21,"NEW DELHI: Sugar shares closed higher in the Thursday's session. Sakthi Sugars(up 4.16%), AVADHSUGAR(up 3.55%), DCM Shriram Industries(up 3.52%), EID Parry(up 2.97%), BAJAJHIND(up 2.93%), Triveni Eng… [+1172 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Stock market update: Sugar stocks up as market rises,The 30-share BSE Sensex was  up  380.74 points at 71717.54,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/106309585.cms,"https://img.etimg.com/thumb/msid-83791939,width-1200,height-630,imgsize-992893,overlay-etmarkets/photo.jpg",2023-12-27,"NEW DELHI: Sugar stocks were trading higher on Wednesday at 10:14AM Rajshree Sugars &amp; Chemicals(up 2.05%), Triveni Engineering &amp; Industries(up 1.76%), Bannari Amman Sugars(up 1.01%), Mawana S… [+1202 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Stock market update: Sugar stocks up as market falls,The 30-share BSE Sensex was  down  170.12 points at 72240.26,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-falls/articleshow/106469186.cms,"https://img.etimg.com/thumb/msid-83209716,width-1200,height-630,imgsize-107089,overlay-etmarkets/photo.jpg",2024-01-02,"NEW DELHI: Sugar stocks were trading higher on Tuesday at 10:44AM Uttam Sugar Mills(up 3.50%), MAGADHSUGAR(up 3.29%), Rajshree Sugars &amp; Chemicals(up 2.37%), Dalmia Bharat Sugar &amp; Industries(u… [+1192 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
ETMarkets.com,Stock market update: Sugar stocks up as market rises,The 30-share BSE Sensex was  up  794.72 points at 70379.32,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-up-as-market-rises/articleshow/105978414.cms,"https://img.etimg.com/thumb/msid-83771694,width-1200,height-630,imgsize-185726,overlay-etmarkets/photo.jpg",2023-12-14,"NEW DELHI: Sugar stocks were trading higher on Thursday at 10:34AM KCP Sugar &amp; Industries(up 2.76%), Kothari Sugars &amp; Chemicals(up 2.44%), Bannari Amman Sugars(up 2.00%), Balrampur Chini Mill… [+1497 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,0.0
ETMarkets.com,Stock market update: Sugar stocks down as market rises,The 30-share BSE Sensex was  up  247.66 points at 71354.62,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/106281767.cms,"https://img.etimg.com/thumb/msid-83800143,width-1200,height-630,imgsize-287158,overlay-etmarkets/photo.jpg",2023-12-26,"NEW DELHI: Sugar stocks were trading lower on Tuesday at 10:34AM Simbhaoli Sugars(up 9.63%), Kothari Sugars &amp; Chemicals(up 1.62%), Bannari Amman Sugars(up 0.78%), Triveni Engineering &amp; Indust… [+1401 chars]",the-times-of-india,The Times of India,SHRIRAMFIN,1.0
"Sneha Shah, Ranjani Raghavan","Chrys Cap, Kedaara prepare their biggest funds ever","While ChrysCapital aims to raise $2-2.2 billion for its tenth fund, Kedaara is in the market for its fourth fund of $1-1.5 billion",https://www.livemint.com/companies/news/chrys-cap-kedaara-prepare-their-biggest-funds-ever-11704379184824.html,https://www.livemint.com/lm-img/img/2024/01/04/1600x900/2-0-842780075-kunalshroff8-0_1679654504600_1704393963619.JPG,2024-01-05,"Homegrown private equity (PE) firms ChrysCapital and Kedaara Capital are raising billion-dollar-plus funds in 2024, as they look to cut bigger cheques and fend off competition from Asian and global r… [+6117 chars]",,Livemint,SHRIRAMFIN,0.0
BL Internet Desk,"Share Market Highlights 19 December 2023: Sensex climbed 122.10 pts to settle at 71,437.19; Nifty closed at 21,453.10","Sensex, Nifty updates on 19 December 2023:  Benchmark Nifty ended higher on Tuesday, reversing course from a subdued start, led by energy stocks after the federal government announced a windfall tax cut.  The NSE Nifty 50 index gained 0.16% to 21,453.10, whil…",https://www.thehindubusinessline.com/markets/stock-market-highlights-19-december-2023/article67650753.ece,https://bl-i.thgim.com/public/news/wk2uxu/article67650790.ece/alternates/LANDSCAPE_1200/stock%20market%200987453216.jpg,2023-12-19,"<li></li>
December 19, 2023 16:15MICL receives approval for residential project in Ghatkopar
Man Infraconstruction Ltd disclosed in its regulatory filing that the MICL Group has secured Commencemen… [+69633 chars]",,BusinessLine,SHRIRAMFIN,0.0
BL Internet Desk,"Share Market Highlights 18 December 2023: Sensex sheds 169 pts, Nifty closes below 21,450","Sensex, Nifty updates| Find here all the updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 18 December 2023. Equity benchmarks BSE Sensex and NSE Nifty50 fell on Monday after rallying to record highs for most of this month …",https://www.thehindubusinessline.com/markets/stock-market-highlights-18-december-2023/article67647675.ece,https://bl-i.thgim.com/public/news/hj9qra/article67630988.ece/alternates/LANDSCAPE_1200/stock%20market%20canva%2001478.jpg,2023-12-18,"<li></li>
December 18, 2023 16:20Market news: Rupee falls 2 paise to close at 83.05 against US dollar
The rupee surrendered all its initial gains to settle 2 paise lower at 83.05 (provisional) agai… [+65780 chars]",,BusinessLine,SHRIRAMFIN,1.0
BL Internet Desk,"Share Market Highlights 05 January 2024: Sensex climbs 178.58 pts to settle at 72,026; Nifty up 52.20 points at 21,711","Sensex, Nifty updates on 05 January 2024: India’s Sensex and Nifty, starting the day robustly to recapture lost ground ahead of significant earnings, now trade positively in a lacklustre session. Sensex climbed 178.58 points to 72,026.15, with Nifty up 52.20 …",https://www.thehindubusinessline.com/markets/stock-market-highlights-05-january-2024/article67706161.ece,https://bl-i.thgim.com/public/incoming/1f049y/article67695346.ece/alternates/LANDSCAPE_1200/Stock%20Market%20Live%20Today%20-%20Share%20Market.jpg,2024-01-05,"<li></li>
January 05, 2024 16:10Markets extend gains for 2nd session on fresh foreign fund inflows; IT stocks shine
Benchmark stock indices Sensex and Nifty closed higher for a second straight day … [+97284 chars]",,BusinessLine,SHRIRAMFIN,0.0
BL Internet Desk,"Share Market Highlights 03 January 2024: Sensex tumbles 535 pts; Nifty settles below 21,550; IT, metal stocks drag","Sensex, Nifty updates on 03 January 2024 – India’s benchmark indexes declined on Wednesday, dragged down by information technology and metal stocks, as global markets slid amid fading optimism about early U.S. interest rate cuts ahead of the release of the Fe…",https://www.thehindubusinessline.com/markets/share-market-highlights-03-january-2024/article67698291.ece,https://bl-i.thgim.com/public/incoming/maeqfe/article67698276.ece/alternates/LANDSCAPE_1200/Stock%20Market%20Live%20Today%20-%20Share%20Market.jpg,2024-01-03,"<li></li>
January 03, 2024 16:28Share Market Today: Amber Enterprises acquires stake in Ascent Circuits, shares up
Amber Enterprises India Ltds shares were up 0.34 per cent after the company finali… [+84607 chars]",,BusinessLine,SHRIRAMFIN,0.0
BL Internet Desk,"Share Market Highlights 04 January 2024: Sensex climbs 491 pts; Nifty closes above 21,650; realty index jumps over 6%","Sensex, Nifty updates on 04 January 2024 – Equity benchmark indices Sensex and Nifty rebounded on Thursday after falling in the past two days and ended nearly 1 per cent higher, mainly on buying in HDFC Bank and Bajaj Finance. The 30-share BSE Sensex jumped 4…",https://www.thehindubusinessline.com/markets/stock-markets/share-market-highlights-04-january-2024/article67702215.ece,https://bl-i.thgim.com/public/incoming/tgsphr/article67656820.ece/alternates/LANDSCAPE_1200/stock%20market%20share%20market%20live%20updates.jpg,2024-01-04,"<li></li>
January 04, 2024 16:29Stock Market Today: Markets rebound after falling for two days; Sensex jumps 491 points
Equity benchmark indices Sensex and Nifty rebounded on Thursday after falling… [+68006 chars]",,BusinessLine,SHRIRAMFIN,0.0
BL Internet Desk,"Share Market Highlights 27 December 2023: Sensex closes above 72,000; Nifty gains over 200 pts to settle at 21,654","Sensex, Nifty updates on 27 December 2023- Find here all the live updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 27 December 2023. -- Benchmark indices continue to advance from early trade gains. Sensex surged past 72,00…",https://www.thehindubusinessline.com/markets/stock-market-highlights-27-december-2023/article67676343.ece,https://bl-i.thgim.com/public/news/lywti9/article67676360.ece/alternates/LANDSCAPE_1200/stock%20market%2027122023.jpg,2023-12-27,"<li></li>
December 27, 2023 16:24Sensex scales 72k peak for first time; Nifty hits all-time high
Sensex and Nifty soared to fresh closing record highs on Wednesday, with the 30-share benchmark inde… [+64930 chars]",,BusinessLine,SHRIRAMFIN,0.0
BL Internet Desk,"Share Market Highlights 08 December 2023: Sensex gains 300 pts, Nifty hovers around 21,000 as RBI maintains rates","Sensex, Nifty updates on 08 December 2023 – Benchmark Sensex and Nifty rebounded to close at their new lifetime highs on Friday after the Reserve Bank raised the growth forecast for the current fiscal and kept policy rates unchanged, triggering heavy buying i…",https://www.thehindubusinessline.com/markets/share-market-highlights-08-december-2023/article67615789.ece,https://bl-i.thgim.com/public/incoming/ygz620/article67615808.ece/alternates/LANDSCAPE_1200/Share%20Market%20Live.jpg,2023-12-08,"<li></li>
December 08, 2023 16:38Share Market Today: Stock markets hit new peaks as RBI upgrades growth forecast
Benchmark Sensex and Nifty rebounded to close at their new lifetime highs on Friday … [+66374 chars]",,BusinessLine,SHRIRAMFIN,1.0
BL Internet Desk,"Share Market Highlights 13 December 2023: Sensex, Nifty end marginally higher; IT stocks drag","Sensex, Nifty updates| Find here all the updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 13 December 2023. Indian markets closed marginally higher on Wednesday. While BSE Sensex advanced 33.57 points or 0.05% to 69,584.60…",https://www.thehindubusinessline.com/markets/stock-market-highlights-13-december-2023/article67630945.ece,https://bl-i.thgim.com/public/news/6q4q5r/article67630988.ece/alternates/LANDSCAPE_1200/stock%20market%20canva%2001478.jpg,2023-12-13,"<li></li>
December 13, 2023 16:34Market news: Medi Assist Healthcare Services has received final observations from the SEBI for launching IPO. The issue will be an Offer for Sale of up to 2.80 crore… [+64798 chars]",,BusinessLine,SHRIRAMFIN,1.0
BL Internet Desk,"Share Market Highlights 11 December 2023: Sensex, Nifty end marginally higher; Dr Reddy’s sheds 5%","Sensex, Nifty updates| Find here all the updates related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 11 December  2023. Equity benchmark Sensex breached a new milestone of 70,000 points before closing 102 points higher, while Nifty s…",https://www.thehindubusinessline.com/markets/stock-market-highlights-11-december-2023/article67624486.ece,https://bl-i.thgim.com/public/news/1y0u4d/article67599309.ece/alternates/LANDSCAPE_1200/PO03_ShortTake_%2BG3GC3CVTH.5.jpg.jpg,2023-12-11,"<li></li>
December 11, 2023 16:14Market news: Rupee settles almost flat at 83.39 against US dollar
The rupee stayed almost flat and settled 1 paisa lower at 83.39 (provisional) against the US dolla… [+68680 chars]",,BusinessLine,SHRIRAMFIN,0.0
